iteration,candidate_action,dropped_count,remaining_features,roc_auc,average_precision,accepted,candidate_name
0,baseline,0,365,0.7928187559015688,0.29168345998951445,True,advanced_all_transformed
1,drop_cumulative_weakest_transformed_features,1,364,0.7929805036576222,0.29290024566271716,True,drop_1_weakest_transformed
2,drop_cumulative_weakest_transformed_features,2,363,0.792999353410389,0.2936818172788159,True,drop_2_weakest_transformed
3,drop_cumulative_weakest_transformed_features,5,360,0.7925943607395481,0.2918320204607744,True,drop_5_weakest_transformed
4,drop_cumulative_weakest_transformed_features,10,355,0.7927458692503918,0.2925988624638325,True,drop_10_weakest_transformed
5,drop_cumulative_weakest_transformed_features,15,350,0.7925631774670943,0.29214599528620677,True,drop_15_weakest_transformed
6,drop_cumulative_weakest_transformed_features,20,345,0.7925326495371132,0.29304942356757635,True,drop_20_weakest_transformed
7,drop_cumulative_weakest_transformed_features,25,340,0.792330175644928,0.2932892281376,True,drop_25_weakest_transformed
8,drop_cumulative_weakest_transformed_features,35,330,0.79302165429152,0.2932269031054964,True,drop_35_weakest_transformed
9,drop_cumulative_weakest_transformed_features,50,315,0.7927177805794772,0.29130125733664713,True,drop_50_weakest_transformed
10,drop_cumulative_weakest_transformed_features,75,290,0.792465885400544,0.29232732230848524,True,drop_75_weakest_transformed
11,drop_cumulative_weakest_transformed_features,100,265,0.7927399686031962,0.29278481497496,True,drop_100_weakest_transformed
12,drop_cumulative_weakest_transformed_features,125,240,0.7925333715680567,0.29211832369763036,True,drop_125_weakest_transformed
13,drop_cumulative_weakest_transformed_features,150,215,0.7924385392801025,0.29141586187679236,True,drop_150_weakest_transformed
