trial,mean_roc_auc,mean_average_precision,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,class_weight,random_state,n_jobs,verbose,importance_type
34,0.7924895551880332,0.288339646409219,1066,0.040940045555638155,21,9,106,0.7849217636714036,0.7474515476907314,0.44240999085244587,13.9080756685604,0.282366418285819,balanced,42,-1,-1,gain
29,0.7923107883273799,0.2883929159338434,1093,0.04867354186473237,25,9,83,0.8108092332014013,0.6768464621234035,1.9390908561574616,17.30978602087295,0.5357524080441427,balanced,42,-1,-1,gain
30,0.7922130808395268,0.287637095838224,967,0.05032364418186756,25,10,105,0.7647192590447671,0.6823040694283293,3.2422244055649174,18.399215320252885,0.5372560024598877,balanced,42,-1,-1,gain
13,0.7922031790720138,0.2874688751199088,1525,0.029188094703957126,39,4,146,0.8478549051607883,0.8213148953934741,0.0013004491384360144,0.4180107168647839,0.5812622115773065,balanced,42,-1,-1,gain
2,0.7921442042332302,0.28694576091163704,1334,0.010596334536311171,39,7,151,0.9462939903482535,0.719885823755426,0.0002973787659849158,0.0032364259509045684,0.046450412719997725,balanced,42,-1,-1,gain
18,0.7921270386908846,0.28782862491397526,1410,0.01041599148598686,50,7,146,0.9406881508498586,0.6530931150930074,0.009982620434415885,0.012072420464216407,0.8682270042463711,balanced,42,-1,-1,gain
8,0.7921230397543204,0.2872209627540869,1636,0.028087561304169385,42,4,122,0.8312958305066868,0.9053621624183225,0.0035163599046376553,1.786456029372793,0.4722149251619493,balanced,42,-1,-1,gain
17,0.7921204209049605,0.28722307075472764,942,0.0266706903320449,32,10,170,0.8391759924270177,0.8159356870090606,4.169519603539133e-06,0.0015402797935872535,0.3519671673299618,balanced,42,-1,-1,gain
27,0.7921128008003349,0.28850168390252,1660,0.01583813974598736,37,7,214,0.9971280720573003,0.9506213329116288,5.521762697598498e-06,1.3616149151903895e-06,0.8027092603290401,balanced,42,-1,-1,gain
24,0.7921104110732945,0.2869481987057239,1174,0.012647463843180305,34,9,183,0.9703682910267607,0.8568484976529062,6.133655826230671e-05,0.06168754254423176,0.9909776637868204,balanced,42,-1,-1,gain
11,0.7920956624927779,0.28723271403180767,1748,0.020308185926290627,41,4,142,0.829571562531202,0.8723916314462421,0.015512694615758606,6.584670773541672,0.5485278479996937,balanced,42,-1,-1,gain
21,0.7920534088620449,0.28755418942496097,1395,0.010237558767985233,48,7,146,0.9321047907348414,0.6593540600832883,0.01469683107650428,0.01465253047967114,0.843190531299756,balanced,42,-1,-1,gain
31,0.792021960580452,0.28751548268058197,921,0.04747533926920013,25,10,78,0.752571598273144,0.6785218545393233,4.366701848796126,5.604542130311061,0.5409323609000407,balanced,42,-1,-1,gain
23,0.7919129922747249,0.2882165544776358,1602,0.01697150673550773,47,8,131,0.9008841734909694,0.65053309396721,0.08652649080358128,0.0005564174325954634,0.84969264511691,balanced,42,-1,-1,gain
14,0.7918708381066448,0.2866534757042882,1326,0.008605977060855275,55,8,159,0.8685014175657204,0.8271411022086489,1.7210184614760585e-05,0.5419540087616984,0.9080909363378082,balanced,42,-1,-1,gain
19,0.7918346151100791,0.28740217677182894,1622,0.014561732000359028,64,5,141,0.852250267767581,0.72504794857057,0.3237651692357188,0.00014189538902115826,0.0006502443207018205,balanced,42,-1,-1,gain
15,0.7918112831806489,0.28678869276996527,1134,0.016314589866784936,29,6,191,0.9039305230225408,0.7982129133430903,0.0017510182853992839,2.3566411207530137e-06,0.7509972360125257,balanced,42,-1,-1,gain
26,0.7917108647804946,0.28840359921275555,1516,0.026194047732353388,24,6,158,0.9508879099878432,0.7332712424929677,0.0004915698814560283,2.9436309912974373e-05,0.6781938587605216,balanced,42,-1,-1,gain
3,0.7916661009444891,0.2862350794820699,1329,0.011279998505431337,21,12,254,0.9520993370291153,0.7566148192106797,7.073702489270826e-08,0.02312447616996951,0.4401524937396013,balanced,42,-1,-1,gain
6,0.7912726356138219,0.2866635237660194,1066,0.013820921922632701,83,7,116,0.8856740207895621,0.699323478741167,0.0951234237106025,4.936257118809177e-08,0.9868869366005173,balanced,42,-1,-1,gain
28,0.7912541148331357,0.2863939828440812,1262,0.018025474759901072,47,10,65,0.887898486814645,0.782102657156205,0.0027420196856848093,0.008259136343594816,0.3806121242576043,balanced,42,-1,-1,gain
7,0.7912321253842164,0.2859348941242999,1527,0.011939286733677562,16,11,202,0.9322517920102469,0.919944621340081,4.406687000612437e-08,2.1582437583712308e-05,0.11586905952512971,balanced,42,-1,-1,gain
22,0.7911404417247994,0.28686167419583836,1424,0.009774316401172165,64,6,170,0.9475061301333242,0.711811667890129,0.00536310102066766,0.005579807087666123,0.6301955852491555,balanced,42,-1,-1,gain
12,0.79103746810056,0.28681734484064014,1520,0.020259989510782155,41,7,69,0.9914236438604933,0.9892059292287507,4.616554144664161,0.05400550518285168,0.0028145711733939746,balanced,42,-1,-1,gain
4,0.79095902691066,0.28543189083050186,746,0.021697021510949877,18,12,112,0.9156305710884955,0.7590988766312938,0.0003342382251192237,0.0012160983720772218,0.18485445552552704,balanced,42,-1,-1,gain
16,0.7909091455411209,0.2870903031387229,1468,0.0398021664535754,54,5,234,0.96457442150652,0.7206275034556845,9.879975332571737e-05,0.15799877007274768,0.5842895391516005,balanced,42,-1,-1,gain
32,0.7907642951947076,0.2850030598349078,944,0.059035421017136644,26,11,86,0.776628381711271,0.7477383262372034,1.2712707951621638,11.145846051656296,0.6410395221419911,balanced,42,-1,-1,gain
1,0.7902170576020979,0.28528722085837055,624,0.05647035625736537,83,5,96,0.7958511274633584,0.7564847850358383,0.0003671474011048667,0.00010411985985244788,0.2912291401980419,balanced,42,-1,-1,gain
9,0.7898725187823362,0.284903379609674,743,0.033668430498369775,77,9,214,0.8734488990910977,0.8329564902836979,5.238012063789952e-05,1.7235506887443864e-08,0.10789142699330445,balanced,42,-1,-1,gain
10,0.7886653248408297,0.2828829212847584,1259,0.00809725636340432,56,6,156,0.7596812999902958,0.985919761080897,3.2697746959075863e-06,6.422747031120131,0.7384055447250206,balanced,42,-1,-1,gain
33,0.787906139491016,0.28306246398279167,1034,0.049277121540104996,39,11,101,0.8101982515038232,0.7012761728541222,0.7167480868539329,2.308157836530918,0.4127653749940222,balanced,42,-1,-1,gain
25,0.7868208368108095,0.2801993390144574,1356,0.009794753561993639,62,4,98,0.9242065298852981,0.69179348462878,0.021531337516886847,1.072907740258938,0.4681629597696894,balanced,42,-1,-1,gain
20,0.7867641878155541,0.2828203784869821,1226,0.046831687447523994,31,8,126,0.8007229288062578,0.7835772940592348,0.0007871337595625322,0.23613000041546678,0.2251531597492581,balanced,42,-1,-1,gain
5,0.7799957345394622,0.27509961944822175,1764,0.03813982488514312,92,12,180,0.9804685587557792,0.6809723757181718,5.068145116254201e-07,2.6342705142297507e-08,0.32533033076326434,balanced,42,-1,-1,gain
0,0.7777779628072218,0.27357707743915055,1049,0.05432794140871947,75,9,91,0.7889986300840507,0.6703292642588699,0.3426417745118369,0.003899318902679121,0.7080725777960455,balanced,42,-1,-1,gain
