blend,lightgbm_weight,catboost_weight,fold,catboost_best_iteration,catboost_categorical_feature_count,roc_auc,average_precision
lgbm_50_catboost_50,0.5,0.5,1,1199,14,0.7945777027931472,0.29594042055833947
lgbm_60_catboost_40,0.6,0.4,1,1199,14,0.7945402366972613,0.29600896775703267
lgbm_70_catboost_30,0.7,0.30000000000000004,1,1199,14,0.794359645600794,0.2959038678348935
lgbm_80_catboost_20,0.8,0.19999999999999996,1,1199,14,0.7940411081199978,0.29549244275425596
lgbm_50_catboost_50,0.5,0.5,2,1199,14,0.7948076843970684,0.28941994818474853
lgbm_60_catboost_40,0.6,0.4,2,1199,14,0.7946031867662886,0.2891962333777724
lgbm_70_catboost_30,0.7,0.30000000000000004,2,1199,14,0.7942674500723779,0.2887396219294075
lgbm_80_catboost_20,0.8,0.19999999999999996,2,1199,14,0.7938054297817051,0.28801029972779146
lgbm_50_catboost_50,0.5,0.5,3,1199,14,0.7942067020828955,0.2872322632028438
lgbm_60_catboost_40,0.6,0.4,3,1199,14,0.7940668664178561,0.28724931179904856
lgbm_70_catboost_30,0.7,0.30000000000000004,3,1199,14,0.7937879838155625,0.2870078571213384
lgbm_80_catboost_20,0.8,0.19999999999999996,3,1199,14,0.7933756997714742,0.2865872597223975
